,RQI
0,0.11289790607326966
1,0.08540011929194467
2,0.08810601727672554
3,0.0864710345595342
4,0.08810601727672554
5,0.08810601727672554
6,0.08810601727672554
7,0.08810601727672554
8,0.08810601727672554
9,0.08810601727672554
10,0.12110471070596439
11,0.12283295322142944
12,0.16486430056045134
13,0.17033245884718917
14,0.17014827796471765
15,0.14385106312726442
16,0.20275418775879386
17,0.20422227996507325
18,0.2062804427650757
19,0.20100845260152367
20,0.1327500978477819
21,0.2055122291883639
22,0.13727622853953098
23,0.1574690766936515
24,0.15774967827149897
25,0.15961034523187936
26,0.16179763771529482
27,0.1383806639071009
28,0.13680552380033034
29,0.14270403516713173
30,0.15225943987315407
31,0.14122828929385584
32,0.09780009495796729
33,0.12322160920609086
34,0.08663637469194253
35,0.08613821269288932
36,0.08659733712891123
37,0.08810601727672554
38,0.08810601727672554
39,0.08810601727672554
40,0.08810601727672554
41,0.08810601727672554
42,0.12035185934751423
43,0.08810601727672554
44,0.08810601727672554
45,0.11810010382289353
46,0.18185273360842608
47,0.1460719878348228
48,0.14324277587805417
49,0.19726973824024346
50,0.1500172937358514
51,0.20277626775646437
52,0.1351763416380222
53,0.1367005114949846
54,0.1383806639071009
55,0.13179906704720923
56,0.1411299608016973
57,0.17689195612367498
58,0.15426581192287134
59,0.14429177953914943
60,0.16945850435774265
61,0.1570403845451654
62,0.16918984990472874
63,0.15789595467493392
64,0.1383806639071009
65,0.13282492724382228
66,0.08645365352628605
67,0.08574676094783261
68,0.0868460484346051
69,0.08810601727672554
70,0.08810601727672554
71,0.08810601727672554
72,0.08810601727672554
73,0.08810601727672554
74,0.08810601727672554
75,0.08810601727672554
76,0.08810601727672554
77,0.08810601727672554
78,0.12022512119505831
79,0.1546229588360944
80,0.26570712227715426
81,0.14417897451414013
82,0.14999032189128284
83,0.25355562506520035
84,0.22137570854838126
85,0.20434599972620557
86,0.19662388873327993
87,0.13122957435071658
88,0.12644416565464764
89,0.13177447871371703
90,0.13821222660514648
91,0.14683471283068167
92,0.16997253208824512
93,0.14645150692785186
94,0.15632501184464712
95,0.10081554760073538
96,0.10061693821140502
97,0.13967274695458573
98,0.1396619610279507
99,0.08739842075298507
100,0.08810601727672554
101,0.08810601727672554
102,0.1213277288012673
103,0.1801533894764798
104,0.08739842075298507
105,0.08739842075298507
106,0.08739842075298507
107,0.08739842075298507
108,0.08810601727672554
109,0.08810601727672554
110,0.12474153898118262
111,0.12399744942936361
112,0.1780244619822732
